Comments,Surrounding Code Context,Class
/*take adjust_quad_dof_index_for_face_orientation_table from FESystem:*/,"-4.   {
-3.     this->unit_support_points      = fe_system->unit_support_points;
-2.     this->unit_face_support_points = fe_system->unit_face_support_points;
-1.   }

/*take adjust_quad_dof_index_for_face_orientation_table from FESystem:*/

1.   {
2.    ",Not Useful
/*----------------------- FESystem::InternalData -------------------*/,"-10.   return fe_system->get_prolongation_matrix(child, refinement_case);
-9. }
-8. template <int dim, int spacedim>
-7. const FullMatrix<double> &
-6. FE_Enriched<dim, spacedim>::get_restriction_matrix(
-5.   const unsigned int         child,
-4.   const",Not Useful
/*True ==> part of subdomain 1*/,"-1.       for (const auto &cell : dof_handler.active_cell_iterators())

/*True ==> part of subdomain 1*/

1.           for (const unsigned int v : GeometryInfo<dim>::vertex_indices())
2.             vertices_subdomain_1[cell->vertex_index(v)] = true;",Not Useful
/*True ==> part of subdomain 2*/,"-1.       for (const auto &cell : dof_handler.active_cell_iterators())

/*True ==> part of subdomain 2*/

1.           for (const unsigned int v : GeometryInfo<dim>::vertex_indices())
2.             if (vertices_subdomain_1[cell->vertex_index(v)] == true)",Not Useful
/*when entry is not found*/,"-10.            *
-9.            * Eg: if cell has color list {1,2} associated and
-8.            * fe_sets = { {}, {1}, {2} } for now, we need to add a new set {1,2}
-7.            * to fe_sets and a new active FE index 3 because 0 to 2 FE indices
-6.   ",Not Useful
/*when entry is found*/,"-5.               if (it == fe_sets.end())
-4.                 {
-3.                   fe_sets.push_back(color_list);
-2.                   cell->set_active_fe_index(fe_sets.size() - 1);
-1.                 }

/*when entry is found*/

1.               els",Not Useful
/*loop through faces*/,"-10.        * entry as zero since the 3rd enrichment function is not relevant for
-9.        * the cell. If the interface has enriched FE [1 0 1] and [0 1 1]
-8.        * on adjacent cells, an enriched FE [0 0 1] should exist and is
-7.        * found as ",Not Useful
/*namespace ColorEnriched*/,"-10. {
-9.   return fesystem_data->get_fe_data(base_no);
-8. }
-7. template <int dim, int spacedim>
-6. internal::FEValuesImplementation::FiniteElementRelatedData<dim, spacedim> &
-5. FE_Enriched<dim, spacedim>::InternalData::get_fe_output_object(
-4.   c",Not Useful
/*---------------------------- InternalDataBase ---------------------------*/,"-10.   const Quadrature<dim - 1> &quadrature) const
-9. {
-8.   Assert(false,
-7.          ExcMessage(""Use of a deprecated interface, please implement ""
-6.                     ""fill_fe_face_values taking a hp::QCollection argument""));
-5.   (void)update_",Not Useful
/*namespace*/,"-10. #include <deal.II/fe/fe_pyramid_p.h>
-9. #include <deal.II/fe/fe_q.h>
-8. #include <deal.II/fe/fe_simplex_p.h>
-7. #include <deal.II/fe/fe_simplex_p_bubbles.h>
-6. #include <deal.II/fe/fe_wedge_p.h>
-5. #include <deal.II/lac/vector.h>
-4. #include <m",Not Useful
/*namespace FE_Q*/,"-10. #include <deal.II/fe/fe_simplex_p.h>
-9. #include <deal.II/fe/fe_simplex_p_bubbles.h>
-8. #include <deal.II/fe/fe_wedge_p.h>
-7. #include <deal.II/lac/vector.h>
-6. #include <memory>
-5. #include <sstream>
-4. #include <vector>
-3. DEAL_II_NAMESPACE_",Not Useful
/*namespace*/,"-10. #    else
-9. #      include <ida/ida_impl.h>
-8. #    endif
-7. #  endif
-6. #  if DEAL_II_SUNDIALS_VERSION_LT(5, 0, 0)
-5. #    include <deal.II/sundials/sunlinsol_newempty.h>
-4. #  endif
-3. #  include <iomanip>
-2. #  include <iostream>
-1. DEAL",Not Useful
/*DEAL_II_WITH_TRILINOS*/,"-8. #include <deal.II/base/config.h>
-7. #include <deal.II/lac/vector_operation.h>
-6. #include <deal.II/sundials/ida.h>
-5. #ifdef DEAL_II_WITH_SUNDIALS
-4. #  include <deal.II/base/utilities.h>
-3. #  include <deal.II/lac/block_vector.h>
-2. #  include ",Not Useful
/*PETSC_USE_COMPLEX*/,"-1. #    ifdef DEAL_II_WITH_PETSC
#      ifndef PETSC_USE_COMPLEX

/*PETSC_USE_COMPLEX*/

1.   template class IDA<PETScWrappers::MPI::Vector>;
2.   template class IDA<PETScWrappers::MPI::BlockVector>;",Not Useful
/*DEAL_II_WITH_PETSC*/,"-10. #include <deal.II/sundials/ida.h>
-9. #ifdef DEAL_II_WITH_SUNDIALS
-8. #  include <deal.II/base/utilities.h>
-7. #  include <deal.II/lac/block_vector.h>
-6. #  include <deal.II/sundials/n_vector.h>
-5. #  include <deal.II/sundials/sunlinsol_wrapper.h",Not Useful
/*DEAL_II_WITH_MPI*/,"-10.   {
-9.     if (ida_mem)
-8.       {
-7.         IDAFree(&ida_mem);
-6. #  if !DEAL_II_SUNDIALS_VERSION_LT(6, 0, 0)
-5.         const int status = SUNContext_Free(&ida_ctx);
-4.         (void)status;
-3.         AssertIDA(status);
-2. #  endif
-1.   ",Not Useful
/*namespace SUNDIALS*/,"-10. #    else
-9. #      include <ida/ida_impl.h>
-8. #    endif
-7. #  endif
-6. #  if DEAL_II_SUNDIALS_VERSION_LT(5, 0, 0)
-5. #    include <deal.II/sundials/sunlinsol_newempty.h>
-4. #  endif
-3. #  include <iomanip>
-2. #  include <iostream>
-1. DEAL",Not Useful
/*DEAL_II_WITH_SUNDIALS*/,"-10. //    it, and/or modify it under the terms of the GNU Lesser General
-9. //    Public License as published by the Free Software Foundation; either
-8. //    version 2.1 of the License, or (at your option) any later version.
-7. //    The full text of",Not Useful
/*i*/,"-2. // ---------------------------------------------------------------------
-1. //
// Copyright (C) 2009 - 2021 by the deal.II authors

/*i*/

111",Not Useful
/*p*/,"-2. // ---------------------------------------------------------------------
-1. //
// Copyright (C) 2009 - 2021 by the deal.II authors

/*p*/

111",Not Useful
/*update_flags*/,"-10.     {
-9.       namebuf << comp;
-8.       if (comp != name_components.back())
-7.         namebuf << "", "";
-6.     }
-5.   namebuf << "")"";
-4.   return namebuf.str();
-3. }
-2. template <int dim, int spacedim>
-1. UpdateFlags
FE_Nothing<dim, spacedi",Not Useful
/*quadrature*/,"-9. {
-8.   Assert(false, ExcMessage(""This element has no shape functions.""));
-7.   return 0;
-6. }
-5. template <int dim, int spacedim>
-4. std::unique_ptr<typename FiniteElement<dim, spacedim>::InternalDataBase>
-3. FE_Nothing<dim, spacedim>::get_data(",Not Useful
/*output_data*/,"-2.   dealii::internal::FEValuesImplementation::FiniteElementRelatedData<dim,
-1.                                                                      spacedim>

/*output_data*/

1. {",Not Useful
/*fe_other*/,"-5.     return FiniteElementDomination::this_element_dominates;
-4. }
-3. template <int dim, int spacedim>
-2. std::vector<std::pair<unsigned int, unsigned int>>
-1. FE_Nothing<dim, spacedim>::hp_vertex_dof_identities(

/*fe_other*/

1. {",Not Useful
/*fe_other*/,"-5.     return FiniteElementDomination::this_element_dominates;
-4. }
-3. template <int dim, int spacedim>
-2. std::vector<std::pair<unsigned int, unsigned int>>
-1. FE_Nothing<dim, spacedim>::hp_vertex_dof_identities(

/*fe_other*/

1. {",Not Useful
/*fe_other*/,"-5.     return FiniteElementDomination::this_element_dominates;
-4. }
-3. template <int dim, int spacedim>
-2. std::vector<std::pair<unsigned int, unsigned int>>
-1. FE_Nothing<dim, spacedim>::hp_vertex_dof_identities(

/*fe_other*/

1. {",Not Useful
/*source_fe*/,"-10. }
-9. template <int dim, int spacedim>
-8. bool
-7. FE_Nothing<dim, spacedim>::hp_constraints_are_implemented() const
-6. {
-5.   return true;
-4. }
-3. template <int dim, int spacedim>
-2. void
-1. FE_Nothing<dim, spacedim>::get_interpolation_matrix",Not Useful
/*source_fe*/,"-10. }
-9. template <int dim, int spacedim>
-8. bool
-7. FE_Nothing<dim, spacedim>::hp_constraints_are_implemented() const
-6. {
-5.   return true;
-4. }
-3. template <int dim, int spacedim>
-2. void
-1. FE_Nothing<dim, spacedim>::get_interpolation_matrix",Not Useful
/*source_fe*/,"-10. }
-9. template <int dim, int spacedim>
-8. bool
-7. FE_Nothing<dim, spacedim>::hp_constraints_are_implemented() const
-6. {
-5.   return true;
-4. }
-3. template <int dim, int spacedim>
-2. void
-1. FE_Nothing<dim, spacedim>::get_interpolation_matrix",Not Useful
/*namespace*/,"-10. #include <deal.II/fe/fe_pyramid_p.h>
-9. #include <deal.II/fe/fe_q_base.h>
-8. #include <deal.II/fe/fe_simplex_p.h>
-7. #include <deal.II/fe/fe_simplex_p_bubbles.h>
-6. #include <deal.II/fe/fe_tools.h>
-5. #include <deal.II/fe/fe_wedge_p.h>
-4. #incl",Not Useful
/*namespace FE_Q_Base*/,"-10. #include <deal.II/fe/fe_simplex_p.h>
-9. #include <deal.II/fe/fe_simplex_p_bubbles.h>
-8. #include <deal.II/fe/fe_tools.h>
-7. #include <deal.II/fe/fe_wedge_p.h>
-6. #include <memory>
-5. #include <sstream>
-4. #include <vector>
-3. DEAL_II_NAMESPACE",Not Useful
/*subface 0*/,"-5.     constraint_points.emplace_back(0.5);
-4.     if (q_deg > 1)
-3.       {
-2.         const unsigned int n    = q_deg - 1;
-1.         const double       step = 1. / q_deg;

/*subface 0*/

1.         for (unsigned int i = 1; i <= n; ++i)
2.         ",Not Useful
/*subface 1*/,"-10.     //
-9.     // Note, that we build up these matrices for all subfaces at once, rather
-8.     // than considering them separately. the reason is that we finally will
-7.     // want to have them in this order anyway, as this is the format we need
",Not Useful
/*line 6: use line 10*/,"-4.         QProjector<dim - 1>::project_to_subface(
-3.           ReferenceCells::get_hypercube<dim - 1>(), qline, 0, 0, p_line);
-2.         for (unsigned int i = 0; i < n; ++i)
-1.           constraint_points.push_back(p_line[i] + Point<dim - 1>(0.5, 0",Not Useful
/*line 7: use line 13*/,"-4.         QProjector<dim - 1>::project_to_subface(
-3.           ReferenceCells::get_hypercube<dim - 1>(), qline, 0, 1, p_line);
-2.         for (unsigned int i = 0; i < n; ++i)
-1.           constraint_points.push_back(p_line[i] + Point<dim - 1>(0.5, 0",Not Useful
/*line 8: use line 14*/,"-4.         QProjector<dim - 1>::project_to_subface(
-3.           ReferenceCells::get_hypercube<dim - 1>(), qline, 2, 0, p_line);
-2.         for (unsigned int i = 0; i < n; ++i)
-1.           constraint_points.push_back(p_line[i] + Point<dim - 1>(0, 0.5",Not Useful
/*DoFs on bordering lines lines 9-16*/,"-4.         QProjector<dim - 1>::project_to_subface(
-3.           ReferenceCells::get_hypercube<dim - 1>(), qline, 2, 1, p_line);
-2.         for (unsigned int i = 0; i < n; ++i)
-1.           constraint_points.push_back(p_line[i] + Point<dim - 1>(0, 0.5",Not Useful
/*NOLINT*/,"-1.   const Quadrature<1>   support_1d(points);

/*NOLINT*/

111",Not Useful
/*NOLINT*/,"-1.   const Quadrature<1>   support_1d(points);

/*NOLINT*/

111",Not Useful
"/*face_orientation=false, face_flip=false, face_rotation=false*/","-5.   for (unsigned int local = 0; local < this->n_dofs_per_quad(face_no); ++local)

/*face_orientation=false, face_flip=false, face_rotation=false*/

1.       this->adjust_quad_dof_index_for_face_orientation_table[face_no](local,
2.                      ",Not Useful
"/*face_orientation=false, face_flip=false, face_rotation=true*/","-3.       this->adjust_quad_dof_index_for_face_orientation_table[face_no](local,
-2.                                                                       0) =
-1.         j + i * n - local;

/*face_orientation=false, face_flip=false, face_rotation=true*/",Not Useful
"/*face_orientation=false, face_flip=true,  face_rotation=false*/","-3.       this->adjust_quad_dof_index_for_face_orientation_table[face_no](local,
-2.                                                                       1) =
-1.         i + (n - 1 - j) * n - local;

/*face_orientation=false, face_flip=true,  face_rotat",Not Useful
"/*face_orientation=false, face_flip=true,  face_rotation=true*/","-3.       this->adjust_quad_dof_index_for_face_orientation_table[face_no](local,
-2.                                                                       2) =
-1.         (n - 1 - j) + (n - 1 - i) * n - local;

/*face_orientation=false, face_flip=true,  ",Not Useful
"/*face_orientation=true,  face_flip=false, face_rotation=false*/","-3.       this->adjust_quad_dof_index_for_face_orientation_table[face_no](local,
-2.                                                                       3) =
-1.         (n - 1 - i) + j * n - local;

/*face_orientation=true,  face_flip=false, face_rotat",Not Useful
"/*face_orientation=true,  face_flip=false, face_rotation=true*/","-2.       this->adjust_quad_dof_index_for_face_orientation_table[face_no](local,
-1.                                                                       4) = 0;

/*face_orientation=true,  face_flip=false, face_rotation=true*/

1.       this->adjust_quad",Not Useful
"/*face_orientation=true,  face_flip=true,  face_rotation=false*/","-3.       this->adjust_quad_dof_index_for_face_orientation_table[face_no](local,
-2.                                                                       5) =
-1.         j + (n - 1 - i) * n - local;

/*face_orientation=true,  face_flip=true,  face_rotat",Not Useful
"/*face_orientation=true,  face_flip=true,  face_rotation=true*/","-3.       this->adjust_quad_dof_index_for_face_orientation_table[face_no](local,
-2.                                                                       6) =
-1.         (n - 1 - i) + (n - 1 - j) * n - local;

/*face_orientation=true,  face_flip=true,  ",Not Useful
/*DoF is on a face*/,"-6.       return (GeometryInfo<dim>::face_to_cell_vertices(
-5.                 face, face_vertex, face_orientation, face_flip, face_rotation) *
-4.                 this->n_dofs_per_vertex() +
-3.               dof_index_on_vertex);
-2.     }
-1.   else i",Not Useful
/*DoF is on a quad*/,"-10.           default:
-9.             Assert(false, ExcInternalError());
-8.         }
-7.       return (this->get_first_line_index() +
-6.               GeometryInfo<dim>::face_to_cell_lines(
-5.                 face, face_line, face_orientation, face_",Not Useful
/*see whether the given line is on the given face.*/,"-2.           const unsigned int lines_per_face =
-1.             dim == 3 ? GeometryInfo<dim>::lines_per_face : 1;

/*see whether the given line is on the given face.*/

1.           for (unsigned int l = 0; l < lines_per_face; ++l)
2.             if (Ge",Not Useful
/*dof is on a quad*/,"-10.           for (unsigned int l = 0; l < lines_per_face; ++l)
-9.             if (GeometryInfo<3>::face_to_cell_lines(face_index, l) ==
-8.                 line_index)
-7.               return true;
-6.           return false;
-5.         }
-4.       e",Not Useful
"/*in 3d, quad_index=face_index*/","-1.       Assert(dim != 2, ExcInternalError());

/*in 3d, quad_index=face_index*/

1.       if (dim == 3)
2.         return (quad_index == face_index);
3.       else
4.         Assert(false, ExcNotImplemented());
5.     }
6.   else",Not Useful
/*dof on hex*/,"-6.       if (dim == 3)
-5.         return (quad_index == face_index);
-4.       else
-3.         Assert(false, ExcNotImplemented());
-2.     }
-1.   else

/*dof on hex*/

1.     {",Not Useful
/*we should not have gotten here*/,"-3.       Assert(false, ExcNotImplemented());
-2.       return false;
-1.     }

/*we should not have gotten here*/

1.   Assert(false, ExcInternalError());
2.   return false;
3. }
4. template <int dim, int spacedim>
5. std::pair<Table<2, bool>, std::vect",Not Useful
/*namespace DataOutRotationImplementation*/,"-2. namespace internal
-1. {
  namespace DataOutRotationImplementation

/*namespace DataOutRotationImplementation*/

1.   {
2.     template <int dim, int spacedim>
3.     ParallelData<dim, spacedim>::ParallelData(
4.       const unsigned int              ",Not Useful
/*system of components*/,"-10.                                                      x * n_points * n_points +
-9.                                                        y + z * n_points) =
-8.                                 data.patch_values_scalar
-7.                            ",Not Useful
/*namespace*/,"-7.   std::vector<bool> ret_val(dofs_per_cell, false);
-6.   for (unsigned int i = GeometryInfo<dim>::faces_per_cell * dofs_per_face;
-5.        i < dofs_per_cell;
-4.        ++i)
-3.     ret_val[i] = true;
-2.   return ret_val;
-1. }
namespace internal

",Not Useful
/*namespace FE_BDM*/,"-9.   std::vector<bool> ret_val(dofs_per_cell, false);
-8.   for (unsigned int i = GeometryInfo<dim>::faces_per_cell * dofs_per_face;
-7.        i < dofs_per_cell;
-6.        ++i)
-5.     ret_val[i] = true;
-4.   return ret_val;
-3. }
-2. namespace intern",Not Useful
/*We have (deg+1)^(dim-1) DoFs per face...*/,"-10.         }
-9.       for (unsigned int k = 0; k < quadrature->size(); ++k)
-8.         this->generalized_support_points[current++] = quadrature->point(k);
-7.     }
-6.   Assert(current == this->n_dofs_per_cell(), ExcInternalError());
-5. }
-4. templa",Not Useful
/*same algorithm as above*/,"-8.                 ++i;
-7.               }
-6.             index += fe1.n_dofs_per_vertex();
-5.           }
-4.         for (int l = 0;
-3.              l < static_cast<signed int>(GeometryInfo<dim>::lines_per_face);
-2.              ++l)
-1.          ",Not Useful
/*same algorithm as above*/,"-8.                 ++i;
-7.               }
-6.             index += fe1.n_dofs_per_vertex();
-5.           }
-4.         for (int l = 0;
-3.              l < static_cast<signed int>(GeometryInfo<dim>::lines_per_face);
-2.              ++l)
-1.          ",Not Useful
/*namespace*/,"-10. #include <deal.II/lac/affine_constraints.h>
-9. #include <deal.II/lac/vector.h>
-8. #ifdef DEAL_II_WITH_MPI
-7. #  include <deal.II/lac/la_parallel_vector.h>
-6. #endif
-5. #include <algorithm>
-4. #include <array>
-3. #include <memory>
-2. #include ",Not Useful
/*dof_handler*/,"-5. #include <deal.II/base/table.h>
-4. #include <deal.II/base/template_constraints.h>
-3. #include <deal.II/base/utilities.h>
-2. #include <deal.II/base/work_stream.h>
-1. #include <deal.II/dofs/dof_accessor.h>
#include <deal.II/dofs/dof_handler.h>

/*do",Not Useful
/*dof_handler*/,"-5. #include <deal.II/base/table.h>
-4. #include <deal.II/base/template_constraints.h>
-3. #include <deal.II/base/utilities.h>
-2. #include <deal.II/base/work_stream.h>
-1. #include <deal.II/dofs/dof_accessor.h>
#include <deal.II/dofs/dof_handler.h>

/*do",Not Useful
/*skip artificial cells*/,"-10.                       this_face->vertex_dof_index(vertex, dof, fe_index);
-9.                 for (unsigned int dof = 0; dof != fe.n_dofs_per_line(); ++dof)
-8.                   dofs_on_mother[next_index++] =
-7.                     this_face->dof_i",Not Useful
/*dofs on the bordering lines*/,"-10.                     this_face->child(0)->line(1)->dof_index(dof, fe_index));
-9.                 for (unsigned int dof = 0; dof < fe.n_dofs_per_line(); ++dof)
-8.                   dofs_on_children.push_back(
-7.                     this_face->child(",Not Useful
/*skip artificial cells*/,"-10.                       this_face->vertex_dof_index(vertex, dof, fe_index);
-9.                 for (unsigned int dof = 0; dof != fe.n_dofs_per_line(); ++dof)
-8.                   dofs_on_mother[next_index++] =
-7.                     this_face->dof_i",Not Useful
/*codim=*/,"-10.                        c < cell->face(face)->n_active_descendants();
-9.                        ++c)
-8.                     {
-7.                       const auto subcell =
-6.                         cell->neighbor_child_on_subface(face, c);
-5.   ",Not Useful
/*codim=*/,"-10.                        c < cell->face(face)->n_active_descendants();
-9.                        ++c)
-8.                     {
-7.                       const auto subcell =
-6.                         cell->neighbor_child_on_subface(face, c);
-5.   ",Not Useful
/*codim=*/,"-10.                        c < cell->face(face)->n_active_descendants();
-9.                        ++c)
-8.                     {
-7.                       const auto subcell =
-6.                         cell->neighbor_child_on_subface(face, c);
-5.   ",Not Useful
/*codim=*/,"-10.                        c < cell->face(face)->n_active_descendants();
-9.                        ++c)
-8.                     {
-7.                       const auto subcell =
-6.                         cell->neighbor_child_on_subface(face, c);
-5.   ",Not Useful
/*codim=*/,"-10.                        c < cell->face(face)->n_active_descendants();
-9.                        ++c)
-8.                     {
-7.                       const auto subcell =
-6.                         cell->neighbor_child_on_subface(face, c);
-5.   ",Not Useful
/*Obey the component mask*/,"-2.       for (unsigned int i = 0; i < dofs_per_face; ++i)
-1.         {

/*Obey the component mask*/

1.           if ((component_mask.n_selected_components(fe.n_components()) !=
2.                fe.n_components()) &&
3.               !component_mask[fe",Not Useful
/*namespace*/,"-10. #include <deal.II/lac/affine_constraints.h>
-9. #include <deal.II/lac/vector.h>
-8. #ifdef DEAL_II_WITH_MPI
-7. #  include <deal.II/lac/la_parallel_vector.h>
-6. #endif
-5. #include <algorithm>
-4. #include <array>
-3. #include <memory>
-2. #include ",Not Useful
/*flip:*/,"-1.     static const int lookup_table_2d[2][2] = {

/*flip:*/

111",Not Useful
/*false       false false*/,"-2.       {
-1.         {

/*false       false false*/

111",Not Useful
/*false       false true*/,"-3.       {
-2.         {

/*false       false true*/

1.         },
2.         {",Not Useful
/*false       true  false*/,"-2.         },
-1.         {

/*false       true  false*/

111",Not Useful
/*false       true  true*/,"-3.         },
-2.         {

/*false       true  true*/

1.         },
2.       },
3.       {
4.         {",Not Useful
/*true        false false*/,"-4.         },
-3.       },
-2.       {
-1.         {

/*true        false false*/

111",Not Useful
/*true        false true*/,"-5.         },
-4.       },
-3.       {
-2.         {

/*true        false true*/

1.         },
2.         {",Not Useful
/*true        true  false*/,"-2.         },
-1.         {

/*true        true  false*/

111",Not Useful
/*true        true  true*/,"-3.         },
-2.         {

/*true        true  true*/

1.         },
2.       },
3.     };
4.     if (face_1->has_children() && face_2->has_children())
5.       {",Not Useful
/*namespace Assembler*/,"-10.                                       direction,
-9.                                       matched_faces);
-8.     make_periodicity_constraints<dim, spacedim>(matched_faces,
-7.                                                 constraints,
-6.        ",Not Useful
/*namespace*/,"-10. #include <deal.II/lac/affine_constraints.h>
-9. #include <deal.II/lac/vector.h>
-8. #ifdef DEAL_II_WITH_MPI
-7. #  include <deal.II/lac/la_parallel_vector.h>
-6. #endif
-5. #include <algorithm>
-4. #include <array>
-3. #include <memory>
-2. #include ",Not Useful
/*find the column where the representant is mentioned*/,"-1.           Assert(weights[parameter_dof].size() > 0, ExcInternalError());

/*find the column where the representant is mentioned*/

1.           std::map<types::global_dof_index, float>::const_iterator i =
2.             weights[parameter_dof].begin();",Not Useful
/*output_data*/,"-8. template <int dim, int spacedim>
-7. std::unique_ptr<typename FiniteElement<dim, spacedim>::InternalDataBase>
-6. FE_DGPNonparametric<dim, spacedim>::get_data(
-5.   const UpdateFlags update_flags,
-4.   const Mapping<dim, spacedim> &,
-3.   const Qua",Not Useful
/*---------------------------------------------------------------------------*/,"-10. template <int dim, int spacedim>
-9. MappingQ1<dim, spacedim>::MappingQ1()
-8.   : MappingQ<dim, spacedim>(1)
-7. {}
-6. template <int dim, int spacedim>
-5. std::unique_ptr<Mapping<dim, spacedim>>
-4. MappingQ1<dim, spacedim>::clone() const
-3. {
-2",Not Useful
"/*---------------------------------------------------------------------------
misc*/","
	void Parser::InitFun()
	{
		if (mu::TypeInfo<mu::value_type>::IsInteger())
		{


/*---------------------------------------------------------------------------
misc*/

1. 			DefineFun(_T(""exp""), MathImpl<value_type>::Exp);
2. 			DefineFun(_T(""sqrt""), MathImpl<value_type>::Sqrt);
3. 			DefineFun(_T(""sign""), MathImpl<value_type>::Sign);
4. 			DefineFun(_T(""rint""), MathImpl<value_type>::Rint);
5. 			DefineFun(_T(""abs""), MathImpl<value_type>::Abs);",Not Useful
/*---------------------------------------------------------------------------*/,"-2. namespace mu
-1. {

/*---------------------------------------------------------------------------*/

111",Not Useful
/*---------------------------------------------------------------------------*/,"-2. namespace mu
-1. {

/*---------------------------------------------------------------------------*/

111",Not Useful
/*---------------------------------------------------------------------------*/,"-2. namespace mu
-1. {

/*---------------------------------------------------------------------------*/

111",Not Useful
/*---------------------------------------------------------------------------*/,"-2. namespace mu
-1. {

/*---------------------------------------------------------------------------*/

111",Not Useful
/*---------------------------------------------------------------------------*/,"-2. namespace mu
-1. {

/*---------------------------------------------------------------------------*/

111",Not Useful
/*---------------------------------------------------------------------------*/,"-2. namespace mu
-1. {

/*---------------------------------------------------------------------------*/

111",Not Useful
/*---------------------------------------------------------------------------*/,"-2. namespace mu
-1. {

/*---------------------------------------------------------------------------*/

111",Not Useful
/*---------------------------------------------------------------------------*/,"-2. namespace mu
-1. {

/*---------------------------------------------------------------------------*/

111",Not Useful
/*---------------------------------------------------------------------------*/,"-2. namespace mu
-1. {

/*---------------------------------------------------------------------------*/

111",Not Useful
/*---------------------------------------------------------------------------*/,"-2. namespace mu
-1. {

/*---------------------------------------------------------------------------*/

111",Not Useful
/*misc*/,"-4. 			DefineFun(_T(""log2""), MathImpl<value_type>::Log2);
-3. 			DefineFun(_T(""log10""), MathImpl<value_type>::Log10);
-2. 			DefineFun(_T(""log""), MathImpl<value_type>::Log);
-1. 			DefineFun(_T(""ln""), MathImpl<value_type>::Log);

/*misc*/

1. 			DefineFun",Not Useful
/*---------------------------------------------------------------------------*/,"-2. namespace mu
-1. {

/*---------------------------------------------------------------------------*/

111",Not Useful
/*---------------------------------------------------------------------------*/,"-2. namespace mu
-1. {

/*---------------------------------------------------------------------------*/

111",Not Useful
/*---------------------------------------------------------------------------*/,"-2. namespace mu
-1. {

/*---------------------------------------------------------------------------*/

111",Not Useful
/*pExpr*/,"-6. 	void Parser::InitOprt()
-5. 	{
-4. 		DefineInfixOprt(_T(""-""), MathImpl<value_type>::UnaryMinus);
-3. 		DefineInfixOprt(_T(""+""), MathImpl<value_type>::UnaryPlus);
-2. 	}

/*pExpr*/

1. 	{",Not Useful
/*nEnd*/,"-6. 	void Parser::InitOprt()
-5. 	{
-4. 		DefineInfixOprt(_T(""-""), MathImpl<value_type>::UnaryMinus);
-3. 		DefineInfixOprt(_T(""+""), MathImpl<value_type>::UnaryPlus);
-2. 	}

/*nEnd*/

1. 	{",Not Useful
/*---------------------------------------------------------------------------*/,"-2. namespace mu
-1. {

/*---------------------------------------------------------------------------*/

111",Not Useful
/*namespace mu*/,"
namespace mu



/*namespace mu*/

1. {",Not Useful
/*namespace DoFHandlerImplementation*/,"-8. #include <deal.II/base/exceptions.h>
-7. #include <deal.II/base/memory_consumption.h>
-6. #include <deal.II/dofs/dof_handler.h>
-5. #include <deal.II/dofs/dof_objects.h>
-4. #include <deal.II/fe/fe.h>
-3. DEAL_II_NAMESPACE_OPEN
-2. namespace internal
",Not Useful
/*namespace DoFHandlerImplementation*/,"-7. #include <deal.II/base/memory_consumption.h>
-6. #include <deal.II/base/mpi.h>
-5. #include <deal.II/dofs/number_cache.h>
-4. #include <numeric>
-3. DEAL_II_NAMESPACE_OPEN
-2. namespace internal
-1. {
  namespace DoFHandlerImplementation

/*namespace ",Not Useful
/*namespace*/,"-10. #ifdef DEAL_II_WITH_TRILINOS
-9. #  include <deal.II/lac/trilinos_block_sparse_matrix.h>
-8. #  include <deal.II/lac/trilinos_parallel_block_vector.h>
-7. #  include <deal.II/lac/trilinos_sparse_matrix.h>
-6. #  include <deal.II/lac/trilinos_vector.h",Not Useful
/*namespace MatrixTools*/,"-10. #ifdef DEAL_II_WITH_TRILINOS
-9. #  include <deal.II/lac/trilinos_block_sparse_matrix.h>
-8. #  include <deal.II/lac/trilinos_parallel_block_vector.h>
-7. #  include <deal.II/lac/trilinos_sparse_matrix.h>
-6. #  include <deal.II/lac/trilinos_vector.h",Not Useful
/*namespace*/,"-5. #include <deal.II/base/numbers.h>
-4. #include <deal.II/base/thread_management.h>
-3. #include <deal.II/fe/fe_series.h>
-2. #include <iostream>
-1. DEAL_II_NAMESPACE_OPEN
namespace

/*namespace*/

1. {
2.   void
3.   set_k_vectors(Table<1, Tensor<1, 1",Not Useful
/*namespace FESeries*/,"
namespace FESeries



/*namespace FESeries*/

1. {
2.   template <int dim, int spacedim>
3.   Fourier<dim, spacedim>::Fourier(
4.     const std::vector<unsigned int> &      n_coefficients_per_direction,
5.     const hp::FECollection<dim, spacedim> &fe_collection,
6.     const hp::QCollection<dim> &           q_collection,
7.     const unsigned int                     component_)
8.     : n_coefficients_per_direction(n_coefficients_per_direction)
9.     , fe_collection(&fe_collection)
10.     , q_collection(q_collection)",Not Useful
/** \brief Clone this instance and return a pointer to the new instance.*/,"-10. 			m_pFun = new CbWithUserData(*reinterpret_cast<CbWithUserData*>(ref.m_pFun));
-9. 		else
-8. 			m_pFun = ref.m_pFun;
-7. 		m_iArgc = ref.m_iArgc;
-6. 		m_bAllowOpti = ref.m_bAllowOpti;
-5. 		m_iCode = ref.m_iCode;
-4. 		m_iType = ref.m_iType;
-3. 	",Not Useful
/** \brief Return the callback code.*/,"-10. 		\throw nothrow
-9. 		Check that the function pointer is not null,
-8. 		and if there are user data that they are not null.
-7. 	*/
-6. 	bool ParserCallback::IsValid() const
-5. 	{
-4. 		return GetAddr() != nullptr
-3. 			&& !((m_iArgc & CALLBACK_IN",Not Useful
