Line of Code,Comment,Class
do rf;,,Not Useful
// for wZmR = 45;",Useful
goto pTJQYk;,"// Explanation of Result in the line of code:
// goto pTJQYk;",Useful
sizeof gNiozA = 17;, // DxckB3QY_2,Not Useful
register SpbtCAXvj0;,"// Usage of Parameter in the line of code:
// register SpbtCAXvj0;",Useful
sizeof YLH2oViY = 94;, // rCMuCO,Not Useful
return eP1SZ = 18;,,Not Useful
goto YXTZCdOlg;,"// Usage of Data in the line of code:
// goto YXTZCdOlg;",Useful
auto OhpbFf6;,"// Function of Value in the line of code:
// auto OhpbFf6;",Useful
break v_SKl;, // OzF s ZDUQGj qwQTRyZ2yB,Not Useful
static QHIzig;,"// Explanation of Variable in the line of code:
// static QHIzig;",Useful
char SOaZnGaJWU = 47;, // CxAK44 jJO A4wU Q4 wFet5H,Not Useful
short Z0eVx = 62;,"// Explanation of Value in the line of code:
// short Z0eVx = 62;",Useful
long bSJzXuY3MOz = 49;, // VW D,Not Useful
enum Y8SHlzWW;,"// Definition of Data in the line of code:
// enum Y8SHlzWW;",Useful
int r2Hjqsw = 8;,"// Declaration of Variable in the line of code:
// int r2Hjqsw = 8;",Useful
const D7hApqwY8;,,Not Useful
typedef Tsn5gp = 57;,,Not Useful
if tuJ = 45;,"// Declaration of Parameter in the line of code:
// if tuJ = 45;",Useful
static elZkignZ = 11;,"// Definition of Data in the line of code:
// static elZkignZ = 11;",Useful
struct q97RE4M2 = 15;,,Not Useful
short Sw3jXVu = 68;, // Ojs K,Not Useful
sizeof i;,"// Definition of Parameter in the line of code:
// sizeof i;",Useful
signed CF0PPl5d = 79;,/* NkaRIf1g */ // KftnN16jy Gs X3IK,Not Useful
float SifB7b3EpIX;, // yMy,Not Useful
void KRo5H;,/* SO */ // E0ldyI,Not Useful
const bCHmFg8o2 = 9;,"// Usage of Parameter in the line of code:
// const bCHmFg8o2 = 9;",Useful
break wF = 39;,,Not Useful
double CtPgjC = 87;,"// Initialization of Data in the line of code:
// double CtPgjC = 87;",Useful
struct O;,/* VN */,Not Useful
for gQ = 70;,/* W */ // YnDCTb,Not Useful
struct vc6m = 1;,,Not Useful
typedef dSx5hZsb3o5 = 66;,"// Initialization of Variable in the line of code:
// typedef dSx5hZsb3o5 = 66;",Useful
double kN5gw4K = 24;,"// Explanation of Data in the line of code:
// double kN5gw4K = 24;",Useful
const Z5fnCka;,"// Declaration of Result in the line of code:
// const Z5fnCka;",Useful
void hW3hiZZ = 84;, // h_zJtxb0 XzethSd9 rEMLi,Not Useful
char ZZ = 86;,,Not Useful
void nN059R4qn = 47;,"// Function of Variable in the line of code:
// void nN059R4qn = 47;",Useful
goto QmHll6xRRSe = 39;,"// Function of Result in the line of code:
// goto QmHll6xRRSe = 39;",Useful
volatile Alq;,"// Calculation of Parameter in the line of code:
// volatile Alq;",Useful
auto SHp1f = 74;, // PycQZE VxVFPRKC sVF6gJF6,Not Useful
char xmggKZNhVU;,,Not Useful
case RxdJ2Bd;,/* w */,Not Useful
while vi1;,/* KHN3oiNLBR */ // z Zy A8eI3Fn Tcc,Not Useful
register M3wJ0;,/* Pqi_CGZ */,Not Useful
return RhPHqSHeX = 90;,,Not Useful
double ZwM848kE9;, // qlBq g ZrOmICsz3,Not Useful
int kkN7jDwoM3;,"// Initialization of Variable in the line of code:
// int kkN7jDwoM3;",Useful
else kcM;,/* YnKC0V */,Not Useful
signed UjaP;,"// Function of Value in the line of code:
// signed UjaP;",Useful
unsigned PZ;,,Not Useful
int l = 45;,/* v5doEih4CV5 */ // SXP4SCh1hQ,Not Useful
double iLx = 73;,/* rn */,Not Useful
return S0_N = 56;,/* _ */ // uuaB I4f Hm8u9NB6TkI,Not Useful
case xA9Q3wpj;,"// Definition of Data in the line of code:
// case xA9Q3wpj;",Useful
for oQzSprj6w;,/* uSOapCit8s */ // IEnT2J5nJ06 AnP73 tDqpur,Not Useful
char C2;,"// Calculation of Parameter in the line of code:
// char C2;",Useful
case uDLK1lHUuK = 31;,"// Initialization of Variable in the line of code:
// case uDLK1lHUuK = 31;",Useful
enum DeWk6Ec3 = 37;,,Not Useful
auto bVL52bI0fSX;,"// Usage of Result in the line of code:
// auto bVL52bI0fSX;",Useful
static h4;,"// Usage of Value in the line of code:
// static h4;",Useful
void F5rrZtmi;,/* EpEn9PRR */ // B0NznI5 msEIzU R4UHh,Not Useful
switch vncbstaoELj;,,Not Useful
char hKEOj9BV5q;,"// Definition of Data in the line of code:
// char hKEOj9BV5q;",Useful
void XiuWp;,"// Initialization of Data in the line of code:
// void XiuWp;",Useful
void t7k = 2;, // _ bHpY27oYkjb DosEtX1Cy jY,Not Useful
sizeof asY = 83;,"// Function of Parameter in the line of code:
// sizeof asY = 83;",Useful
auto jg9BSiO7;,"// Explanation of Value in the line of code:
// auto jg9BSiO7;",Useful
auto IogxzDS;,/* oCpKY6tS_ */ // L2Yo3MVgASA,Not Useful
volatile kv = 22;,"// Function of Parameter in the line of code:
// volatile kv = 22;",Useful
char Eu0N8g = 85;,/* g1bA0Rq3mJ */ // k KsgtkH3PM4G xJ0tLi,Not Useful
struct hsM424 = 6;,"// Declaration of Parameter in the line of code:
// struct hsM424 = 6;",Useful
default t113f1Js = 15;,"// Explanation of Variable in the line of code:
// default t113f1Js = 15;",Useful
continue r_6eEX3q20K = 19;,"// Initialization of Data in the line of code:
// continue r_6eEX3q20K = 19;",Useful
default J4XBpUCZGp;,"// Usage of Result in the line of code:
// default J4XBpUCZGp;",Useful
return lRMgOq;,"// Explanation of Value in the line of code:
// return lRMgOq;",Useful
if j = 14;,"// Function of Parameter in the line of code:
// if j = 14;",Useful
int sSHDUd9Z = 99;,"// Usage of Data in the line of code:
// int sSHDUd9Z = 99;",Useful
while Ps1rbpxIAF = 89;,"// Usage of Data in the line of code:
// while Ps1rbpxIAF = 89;",Useful
typedef VFgWIt;, // iG6 CDGT7Bt Dgc BTfWigGH JP,Not Useful
default g = 87;,"// Definition of Value in the line of code:
// default g = 87;",Useful
for OtXjgIWsR = 12;,"// Explanation of Parameter in the line of code:
// for OtXjgIWsR = 12;",Useful
static iE8rr6uyJP = 91;,"// Usage of Variable in the line of code:
// static iE8rr6uyJP = 91;",Useful
volatile VL = 14;,"// Function of Data in the line of code:
// volatile VL = 14;",Useful
volatile x0uisH6q4q7;, // Nntdf_ a7UDOkhdsN,Not Useful
char kcedN3AQf;,"// Initialization of Parameter in the line of code:
// char kcedN3AQf;",Useful
register alVcyAm;,/* lsBj87gH1 */,Not Useful
sizeof sTunw1yz;,"// Declaration of Parameter in the line of code:
// sizeof sTunw1yz;",Useful
float hWlqw_eM4;,"// Explanation of Data in the line of code:
// float hWlqw_eM4;",Useful
auto zmFwCT = 29;,/* sHPQ9 */,Not Useful
int tJF;, // O kyTxO PO4kRR,Not Useful
default U6WaUQB = 21;,"// Declaration of Value in the line of code:
// default U6WaUQB = 21;",Useful
static Hk;,,Not Useful
if oeWkFqv = 14;,"// Initialization of Parameter in the line of code:
// if oeWkFqv = 14;",Useful
double x;,"// Initialization of Value in the line of code:
// double x;",Useful
float Wv;,/* ByqL */,Not Useful
while mC;,"// Function of Data in the line of code:
// while mC;",Useful
struct kF;,/* NqN */ // wpxkg8 cV_ft0QIorF,Not Useful
char BG72U = 67;,"// Function of Value in the line of code:
// char BG72U = 67;",Useful
long W6r = 71;, // xYPrTL,Not Useful
goto j = 52;, // P7DGUed09Sj GJPkkxE5dHc rvGjum LHsAzaL9t KKCcv,Not Useful
char Hq7ZswEI9;, // UJ0re,Not Useful
unsigned lBuxVRoAM;,/* nFls */ // FCofvb q1,Not Useful
else x = 60;, // cOyd2WXMMe MHPgUlN Ek _ APH2fzIYS,Not Useful
typedef Inq = 88;,,Not Useful
double Ot;, // NS479hwtk,Not Useful
float VM48bE = 59;,"// Initialization of Parameter in the line of code:
// float VM48bE = 59;",Useful
typedef LDP7 = 100;,"// Definition of Variable in the line of code:
// typedef LDP7 = 100;",Useful
else KYj6Tze5k;,/* qk */ // LMv EP,Not Useful
while L4W6Wow;,"// Initialization of Value in the line of code:
// while L4W6Wow;",Useful
case PRnydaw;,"// Initialization of Variable in the line of code:
// case PRnydaw;",Useful
default cf390H4i;,,Not Useful
for rYfNTnUmTug = 99;, // m1pXs8 sS gjtkUouRQ R_A M,Not Useful
long sCSqlPC2m = 11;,"// Calculation of Parameter in the line of code:
// long sCSqlPC2m = 11;",Useful
for kimHS = 83;,"// Function of Result in the line of code:
// for kimHS = 83;",Useful
switch Pn;,"// Initialization of Variable in the line of code:
// switch Pn;",Useful
char iSxT = 41;,"// Function of Parameter in the line of code:
// char iSxT = 41;",Useful
static S3qxWh = 49;,"// Usage of Data in the line of code:
// static S3qxWh = 49;",Useful
while TZQgsD59ZKx;, // sIh,Not Useful
float As1urT;, // lEHv qsd1nSRhByg a2mDIHjOXZq tKy Vyc0s,Not Useful
int i = 12;,/* cE19n86 */ // T b63tFKj xvZCKuieoF Dyo1pi,Not Useful
do PPjbMZkRs;,/* EIkG */,Not Useful
typedef uIRW = 33;,"// Function of Result in the line of code:
// typedef uIRW = 33;",Useful
double p9fdiRmu = 68;,"// Definition of Result in the line of code:
// double p9fdiRmu = 68;",Useful
while Cy4R2 = 24;,"// Initialization of Result in the line of code:
// while Cy4R2 = 24;",Useful
int kGFyPtX31 = 63;,,Not Useful
default zb8 = 39;, // k_uMG sgt ewnFbCVu c gi2e6bNfRl3,Not Useful
struct xn_BMFAE = 32;,"// Initialization of Parameter in the line of code:
// struct xn_BMFAE = 32;",Useful
auto COUsX;,,Not Useful
typedef S = 75;,"// Usage of Result in the line of code:
// typedef S = 75;",Useful
static cocTu;,/* XwvKivJ8mm */,Not Useful
char kwUoM1zl8;,"// Initialization of Variable in the line of code:
// char kwUoM1zl8;",Useful
int kmG = 11;,"// Function of Data in the line of code:
// int kmG = 11;",Useful
short DJThd7;,/* WvDpc */,Not Useful
struct NcbJ;,"// Calculation of Variable in the line of code:
// struct NcbJ;",Useful
return MkZE;,/* bRrLdipobxr */,Not Useful
int xrYrA7i7 = 75;,/* S1KgNV */ // i8uSuqD X DU,Not Useful
float Vd6FY = 72;,"// Definition of Variable in the line of code:
// float Vd6FY = 72;",Useful
else ZIODTwWkD = 85;,"// Function of Data in the line of code:
// else ZIODTwWkD = 85;",Useful
long fAv = 72;,"// Initialization of Result in the line of code:
// long fAv = 72;",Useful
else N;,"// Explanation of Parameter in the line of code:
// else N;",Useful
void VVrnDzF = 41;,"// Explanation of Parameter in the line of code:
// void VVrnDzF = 41;",Useful
static wCE9vpxSI;,"// Calculation of Result in the line of code:
// static wCE9vpxSI;",Useful
do VrdDe8Uui;,"// Usage of Value in the line of code:
// do VrdDe8Uui;",Useful
void ZMO;,/* foQLlipHJO */ // MSO w,Not Useful
int v88Mw9 = 56;,/* cLCsFyH5mK5 */,Not Useful
char hP5uLCBi = 51;,,Not Useful
float dUeRqHHF = 21;,/* e1sTa */ // GZPVQdS2Vut,Not Useful
short o = 72;,"// Declaration of Data in the line of code:
// short o = 72;",Useful
float FvxNn;,"// Usage of Parameter in the line of code:
// float FvxNn;",Useful
const Eq7SY4VH8u_ = 100;,"// Function of Parameter in the line of code:
// const Eq7SY4VH8u_ = 100;",Useful
goto SX16uxZF;,"// Function of Parameter in the line of code:
// goto SX16uxZF;",Useful
goto SMZE = 80;,"// Calculation of Result in the line of code:
// goto SMZE = 80;",Useful
char y = 89;,"// Calculation of Parameter in the line of code:
// char y = 89;",Useful
break Z = 53;,"// Definition of Value in the line of code:
// break Z = 53;",Useful
void jnvSEjEK = 30;,,Not Useful
extern m3ogo6a = 61;,"// Usage of Parameter in the line of code:
// extern m3ogo6a = 61;",Useful
continue i;, // gsvm_VGP8Rg tm4yrQZse,Not Useful
enum SoWGsi;,/* bFf */ // QlsQy3s504 XDmZnD0bI yX,Not Useful
for QNy8tY;,"// Calculation of Data in the line of code:
// for QNy8tY;",Useful
typedef h8ewCwth2uC;,"// Explanation of Value in the line of code:
// typedef h8ewCwth2uC;",Useful
signed hiDlsD_c = 21;,"// Calculation of Parameter in the line of code:
// signed hiDlsD_c = 21;",Useful
else tgrA = 79;,"// Usage of Data in the line of code:
// else tgrA = 79;",Useful
return rXSXB;,"// Usage of Variable in the line of code:
// return rXSXB;",Useful
goto HaddVHFj = 86;,"// Function of Value in the line of code:
// goto HaddVHFj = 86;",Useful
typedef LRkvwJq1VXq = 91;,/* vQM19Mp */ // Eh0YKJLvp1 lnhe9B1eFZ X9 XZkQO9gwOp A5a1j,Not Useful
char GO6DmND1;,"// Explanation of Value in the line of code:
// char GO6DmND1;",Useful
switch acdmM;,"// Explanation of Parameter in the line of code:
// switch acdmM;",Useful
int w = 8;,"// Declaration of Result in the line of code:
// int w = 8;",Useful
continue kDUH;,"// Definition of Parameter in the line of code:
// continue kDUH;",Useful
auto _ = 78;,/* cF */ // BuKS,Not Useful
enum iEgT30D = 28;,"// Explanation of Data in the line of code:
// enum iEgT30D = 28;",Useful
double g3bJYu;,"// Definition of Parameter in the line of code:
// double g3bJYu;",Useful
while ohOC;,/* yLjM */,Not Useful
volatile Q0iTzpY7Mv = 23;,/* yYie20l */,Not Useful
while CwZ1Q = 53;, // W MA2gn,Not Useful
for uW;,"// Declaration of Parameter in the line of code:
// for uW;",Useful
short HF8Q1q;,"// Initialization of Variable in the line of code:
// short HF8Q1q;",Useful
goto xR0gm = 38;,/* jMvt6EkO */,Not Useful
default Txz = 80;,"// Calculation of Parameter in the line of code:
// default Txz = 80;",Useful
volatile cLcGwD2 = 25;,/* QovP */ // e_FASEc5t Xp4,Not Useful
void hcUU;, // JctREGAAgxu _3xfXPN_29q nL3SuSnvC p8QyM K,Not Useful
float xNsPC0DQE = 33;, // PoD W3gi8vEGI MhT_Ch7Sx0G,Not Useful
struct idFTu = 89;,"// Function of Data in the line of code:
// struct idFTu = 89;",Useful
sizeof Pp = 2;,"// Function of Variable in the line of code:
// sizeof Pp = 2;",Useful
union m = 88;,/* vgJN6 */ // O k22 ey3x,Not Useful
typedef HEn = 92;,"// Usage of Data in the line of code:
// typedef HEn = 92;",Useful
else Z = 30;, // Y119vwUX,Not Useful
while MG7C3Hn;,"// Calculation of Variable in the line of code:
// while MG7C3Hn;",Useful
static GTJWub2RH;,/* QHP2kdH0kC */,Not Useful
return O9rQqYWh8IE;,/* WcISGdjwo */,Not Useful
struct y86B4P = 88;, // RwuvIUf5ge Ik0Druqr Gph3jTPd2II oK2BriRlu,Not Useful
unsigned vE = 19;,/* qY9viq */ // LUYvg jaSo6OSOgWY DljSijJy,Not Useful
unsigned KNlmaN;,/* apf */,Not Useful
float JKhShaa = 38;,"// Explanation of Result in the line of code:
// float JKhShaa = 38;",Useful
struct a = 78;,"// Explanation of Variable in the line of code:
// struct a = 78;",Useful
double f8U;,"// Explanation of Data in the line of code:
// double f8U;",Useful
unsigned V = 1;,"// Explanation of Value in the line of code:
// unsigned V = 1;",Useful
register bt473Ma = 32;,"// Function of Variable in the line of code:
// register bt473Ma = 32;",Useful
float Nl4SYGP;,,Not Useful
volatile kf = 44;,"// Usage of Parameter in the line of code:
// volatile kf = 44;",Useful
break dbykAuo_c = 18;,/* R */,Not Useful
const xHpcs9z = 27;,/* j8vG9I9t */ // i2EVgd awf7pHBtmh PeLA5JjaF lt U8dIO4o,Not Useful
const KxM = 43;,/* oJ */ // Cr,Not Useful
sizeof qZ;, // ybf2MxNDHay,Not Useful
register o7jVkww = 79;,"// Declaration of Variable in the line of code:
// register o7jVkww = 79;",Useful
static Bk3AD = 3;,/* Y3R */ // HfzhPALjG r3nXtjaE RYcB,Not Useful
auto a98x1aGTI = 81;,"// Explanation of Result in the line of code:
// auto a98x1aGTI = 81;",Useful
int yTmdMqg6x = 3;,/* kIANDRj9 */,Not Useful
short pdBX9d;,/* mNQmzEk */ // HeyTfy u HER,Not Useful
else epUXSmvJUV;,"// Function of Value in the line of code:
// else epUXSmvJUV;",Useful
struct KvL;,,Not Useful
switch eBm1oGhPw = 88;,/* TgWZnZLA */ // olrZikN_,Not Useful
extern pJdMJwAa5 = 3;,"// Declaration of Parameter in the line of code:
// extern pJdMJwAa5 = 3;",Useful
do h1gK = 82;,"// Usage of Data in the line of code:
// do h1gK = 82;",Useful
void bM_3qGZt7BD = 15;,"// Declaration of Variable in the line of code:
// void bM_3qGZt7BD = 15;",Useful
float Sf9LrN = 100;,/* lw7S7x */ // ov3is8RF vKZv tbQ yp LwbeMO8,Not Useful
void GAXcl = 95;,/* t0p6gd */ // gDppvsvjXww _c2mkfNfq zZTXlq6_ WeT julrV2nUwU,Not Useful
void u5;,"// Definition of Parameter in the line of code:
// void u5;",Useful
continue BwbPxl0XZRr;,"// Declaration of Variable in the line of code:
// continue BwbPxl0XZRr;",Useful
unsigned l6dSPtd;, // c NHx9 TOMxyKGGR DZPomQH KQnAJfI,Not Useful
return z;,,Not Useful
union S = 94;,"// Definition of Data in the line of code:
// union S = 94;",Useful
continue CmoiDs84 = 49;,"// Explanation of Parameter in the line of code:
// continue CmoiDs84 = 49;",Useful
unsigned KMvWg8 = 73;,"// Function of Value in the line of code:
// unsigned KMvWg8 = 73;",Useful
static sgAlMBBf = 59;,,Not Useful
goto n = 42;,,Not Useful
auto EAd6 = 43;,"// Calculation of Value in the line of code:
// auto EAd6 = 43;",Useful
struct Fl = 38;,"// Explanation of Value in the line of code:
// struct Fl = 38;",Useful
const pTQO1Vk7m = 59;,/* jpgqcgb4n */ // Z8 mqujYOYKs,Not Useful
auto V9U5_c = 64;,/* UUbbV */,Not Useful
long Xw4j3;,"// Definition of Value in the line of code:
// long Xw4j3;",Useful
int CpF;,"// Declaration of Result in the line of code:
// int CpF;",Useful
break mUADpsC0v2x = 76;,"// Calculation of Data in the line of code:
// break mUADpsC0v2x = 76;",Useful
enum BLzZJvpv;,"// Calculation of Parameter in the line of code:
// enum BLzZJvpv;",Useful
while Rg;,"// Definition of Result in the line of code:
// while Rg;",Useful
while i8x;,"// Definition of Variable in the line of code:
// while i8x;",Useful
signed JRzau41fca;,/* kkpN */ // dHRt65XVYWZ,Not Useful
enum N1NP66Uv = 19;,"// Usage of Value in the line of code:
// enum N1NP66Uv = 19;",Useful
auto H63QXe;,,Not Useful
const Q4X = 74;,"// Function of Data in the line of code:
// const Q4X = 74;",Useful
double xd;,"// Usage of Data in the line of code:
// double xd;",Useful
case dRTz30 = 0;,/* jkSmFW */,Not Useful
case i407j4CQihL = 95;,/* _GuPnfa */ // fnw7aogVh L,Not Useful
case XI8ERFC = 3;,,Not Useful
signed hf;,/* dHt9lh */,Not Useful
union preG = 76;, // hYozPLIfP R_jHx DJa6Yp,Not Useful
void W9krA7 = 3;,"// Declaration of Parameter in the line of code:
// void W9krA7 = 3;",Useful
char AXQSIb6JL1 = 1;,/* P */ // azYtI m Jystp1PHfwU,Not Useful
float HRj4v207;,"// Declaration of Parameter in the line of code:
// float HRj4v207;",Useful
continue kR3pMd_RBZ = 5;,/* n */,Not Useful
double TuJCJ = 31;,"// Usage of Variable in the line of code:
// double TuJCJ = 31;",Useful
int oUk6Ks6Po;,,Not Useful
struct bGrMl1A9;,"// Declaration of Variable in the line of code:
// struct bGrMl1A9;",Useful
int EXopEByVt = 94;,"// Initialization of Variable in the line of code:
// int EXopEByVt = 94;",Useful
extern vQ2lJLTgVhr = 0;,,Not Useful
static n;,/* hCG */ // Ib7pJSfQEC SHWg3 QCqe,Not Useful
short q50a9;,"// Definition of Result in the line of code:
// short q50a9;",Useful
union GcfEWQ2Qn = 39;,,Not Useful
switch r = 49;,"// Calculation of Variable in the line of code:
// switch r = 49;",Useful
struct gIdZU;,,Not Useful
else kJ = 93;, // G1NQGI Wcq q_5T2t9gYAW dyF55l L36Hzsmn,Not Useful
short ZT5U5n = 90;,"// Explanation of Value in the line of code:
// short ZT5U5n = 90;",Useful
union mBQi;, // beVWDajH ygGb BQjBgUj4e tUt2t53Onb,Not Useful
char Dvb9td7XqOB;, // LJrhEKBq3Hy LMYH9uQD,Not Useful
if utgYn1Uf = 39;,/* PAaC5V89 */ // ChCwUWXwkA n4B xPk,Not Useful
for f6Hxiy9eXGN = 96;,,Not Useful
goto Fm2hfMx;, // jspu2Z t8Gxy_SrwU Pyl,Not Useful
int j = 51;,,Not Useful
long GiW = 50;,"// Initialization of Data in the line of code:
// long GiW = 50;",Useful
auto rp = 47;,/* BpA */,Not Useful
for T48673n = 19;,,Not Useful
float z = 94;,"// Definition of Parameter in the line of code:
// float z = 94;",Useful
enum OH = 39;,,Not Useful
else B = 50;,"// Explanation of Data in the line of code:
// else B = 50;",Useful
static aA4871dEVE;,,Not Useful
static QR4LjL79acE = 59;,/* z0slQPPz */ // T poywanq djhFxFg1U DOxI7J_ LEqMgIX_ryM,Not Useful
volatile U1lnEJNzf;,"// Explanation of Value in the line of code:
// volatile U1lnEJNzf;",Useful
long Dnv;,"// Function of Data in the line of code:
// long Dnv;",Useful
short Du = 7;,"// Function of Variable in the line of code:
// short Du = 7;",Useful
double mOhHSZZqv;,"// Explanation of Data in the line of code:
// double mOhHSZZqv;",Useful
unsigned Kw5C7lD = 28;,"// Definition of Data in the line of code:
// unsigned Kw5C7lD = 28;",Useful
enum dE;,/* vzWq0mE */ // vSY9iY86HID amccBy_Y HgvOT,Not Useful
static sagcbb69Ux = 22;,"// Calculation of Value in the line of code:
// static sagcbb69Ux = 22;",Useful
double uznjYSS1s;,/* o6EonIdtp */,Not Useful
long crqu4oN6c;,"// Declaration of Data in the line of code:
// long crqu4oN6c;",Useful
do vzVGVhn4 = 11;,/* GsZQvy4SkF */,Not Useful
sizeof o = 19;,"// Calculation of Data in the line of code:
// sizeof o = 19;",Useful
else C8pvP = 82;,/* EaQi */,Not Useful
int x = 82;, // HjIfOX Hzwv6DHXY6,Not Useful
switch cU = 5;,"// Declaration of Parameter in the line of code:
// switch cU = 5;",Useful
return N7;,,Not Useful
int wv8 = 65;,"// Calculation of Parameter in the line of code:
// int wv8 = 65;",Useful
else YtknK = 54;,,Not Useful
return fGQ;,"// Initialization of Value in the line of code:
// return fGQ;",Useful
const CVP;,/* hN */ // X5fUV UJHEQN Ag,Not Useful
int i1O;,,Not Useful
void G;,/* _ZU6UZf */,Not Useful
int X0L;,/* NNfUZ0Y */ // lqCTY2LMHF SMn4tfV,Not Useful
volatile hiJ = 41;,"// Declaration of Value in the line of code:
// volatile hiJ = 41;",Useful
case Mimf0 = 15;, // k_cIxG,Not Useful
register j7pqidBTo;,/* M */,Not Useful
static oNb95GunOFB;,,Not Useful
double UenEhbC9 = 41;,"// Usage of Data in the line of code:
// double UenEhbC9 = 41;",Useful
register kHEO;,"// Usage of Parameter in the line of code:
// register kHEO;",Useful
case jJtEpFBoZG;, // pbbI K6n iXkr0YbHscL T8qM g,Not Useful
typedef AoT4DWRhn = 15;,"// Calculation of Value in the line of code:
// typedef AoT4DWRhn = 15;",Useful
switch Y = 2;,/* Fwu */,Not Useful
enum vhd_VcT;,"// Explanation of Parameter in the line of code:
// enum vhd_VcT;",Useful
long z_8;,/* Y */,Not Useful
switch MEGSwcjQEv;, // luiCIFO1PNo ieTWeNNFu O2rJf_ehcW3 BBfTn,Not Useful
volatile mOaC5Z1 = 53;, // _9ctFnZ9Nv3,Not Useful
float Z;,/* mrkBkfpnr */ // uESU mO8wF orynQIKM,Not Useful
extern ecM0BsoAOl = 87;,/* LKcAAQl */ // tokE9Pht eMxK9tyx6 mosx9fP GA qoUphIqMtW,Not Useful
auto aSp8InLR;,"// Definition of Data in the line of code:
// auto aSp8InLR;",Useful
default eyt_eu = 83;,/* acKs */ // iiur3szuOYV mAN YeHJ_P6EH5h,Not Useful
signed wNu9py7LIey;,,Not Useful
continue b4vBs5y0;,/* L265EKSUPH5 */,Not Useful
char dKM3ha;,,Not Useful
goto dHZMGie;,"// Function of Value in the line of code:
// goto dHZMGie;",Useful
else Du;,"// Definition of Variable in the line of code:
// else Du;",Useful
else Yj = 82;,"// Calculation of Value in the line of code:
// else Yj = 82;",Useful
default n8T;,"// Explanation of Variable in the line of code:
// default n8T;",Useful
char B0kF;, // bwS cZv9GYzc,Not Useful
default O3ttmosEQ;,"// Calculation of Value in the line of code:
// default O3ttmosEQ;",Useful
switch SnFC946G = 39;, // h_P510 mIDQ uQuWyBD W aL7S6OJtR,Not Useful
volatile xBiSsFPN = 26;, // cM2fb J5Ge68DRW,Not Useful
unsigned bApRbGF;,"// Initialization of Parameter in the line of code:
// unsigned bApRbGF;",Useful
while m = 51;,"// Usage of Parameter in the line of code:
// while m = 51;",Useful
long Iuv2Mu;,"// Explanation of Parameter in the line of code:
// long Iuv2Mu;",Useful
sizeof Jo0;,/* sJvfeDr */ // cyXYLbUpm6 Q UzO0oG3,Not Useful
float b = 42;,"// Explanation of Result in the line of code:
// float b = 42;",Useful
while rnIlqvO = 82;,"// Explanation of Data in the line of code:
// while rnIlqvO = 82;",Useful
continue VQAZb = 1;,"// Definition of Value in the line of code:
// continue VQAZb = 1;",Useful
void RM9 = 32;,"// Initialization of Data in the line of code:
// void RM9 = 32;",Useful
char JICzxrX = 32;,"// Initialization of Variable in the line of code:
// char JICzxrX = 32;",Useful
struct _ypMA5kQa = 56;,,Not Useful
volatile pN7YqhB = 26;,"// Definition of Parameter in the line of code:
// volatile pN7YqhB = 26;",Useful
static Cl4DjdQ;,/* k09fNby */ // Xqba4lXA pw Cn2KO6ISo JsLcEPyFUs vnFtOTn1,Not Useful
default glf6q;,"// Initialization of Parameter in the line of code:
// default glf6q;",Useful
int _;,"// Definition of Value in the line of code:
// int _;",Useful
for gzkh = 89;,"// Function of Value in the line of code:
// for gzkh = 89;",Useful
switch aGH1VGodGD;,"// Usage of Value in the line of code:
// switch aGH1VGodGD;",Useful
void tQNUlnSSM = 62;,/* ZYBqR */ // olpa2TBRYp rNJL,Not Useful
register n6 = 63;,,Not Useful
auto p340xIRxN = 16;,"// Initialization of Result in the line of code:
// auto p340xIRxN = 16;",Useful
union qP;,"// Function of Variable in the line of code:
// union qP;",Useful
enum lOnaapOwTd;,/* _B5DhfPGRN */,Not Useful
char o9lWXAO;,"// Calculation of Data in the line of code:
// char o9lWXAO;",Useful
else q;,"// Function of Variable in the line of code:
// else q;",Useful
typedef Kh1QHwIn;,"// Usage of Result in the line of code:
// typedef Kh1QHwIn;",Useful
char nvzy8i6hhv;,/* YpgH */ // Zcd8yo6vR s uGt l,Not Useful
if cEQ6l = 60;,/* SD_Vc */,Not Useful
struct HHYL = 88;, // n4 s67B XHmhmxsefhx,Not Useful
char qk;,/* qUgdiz5V */,Not Useful
static LvDWsErE = 82;,"// Explanation of Parameter in the line of code:
// static LvDWsErE = 82;",Useful
void WE;,"// Initialization of Parameter in the line of code:
// void WE;",Useful
register HdnqZXf = 97;,/* p7s5i */ // B9PpnRb X f7uRsro dxTzYSV2Vmo,Not Useful
double jNOpqS = 28;,/* vcgRJl9o */,Not Useful
typedef zS;,"// Usage of Result in the line of code:
// typedef zS;",Useful
static oJ0VyTS;,,Not Useful
char iMa6n;,"// Usage of Data in the line of code:
// char iMa6n;",Useful
void GoAXS;,"// Function of Value in the line of code:
// void GoAXS;",Useful
goto yBBf11 = 63;,"// Usage of Result in the line of code:
// goto yBBf11 = 63;",Useful
break cCb = 17;,"// Declaration of Value in the line of code:
// break cCb = 17;",Useful
float X6DsjcIna;,"// Function of Value in the line of code:
// float X6DsjcIna;",Useful
auto Et1gw838 = 82;,"// Definition of Value in the line of code:
// auto Et1gw838 = 82;",Useful
unsigned wjOJLPG3;,/* oc */,Not Useful
char L9o_SJsR3 = 14;,/* UX_Gve */ // orDn7JLXR PlFmyY_m0 FVh6y,Not Useful
void XqlHWB = 21;,"// Initialization of Result in the line of code:
